Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alexandra,2021-01-28 20:35:28,00:00:04,Autoplayed: user action: None; ,The Alienist: Angel of Darkness_hook_04_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:04,00:00:04,SE (Sweden)
Alexandra,2021-01-28 20:35:15,00:00:09,Autoplayed: user action: None; ,Assassin's Creed_hook_04_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:09,00:00:09,SE (Sweden)
Alexandra,2021-01-28 20:34:11,00:00:06,Autoplayed: user action: None; ,Clip 1: Creating The Queen's Gambit,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:06,00:00:06,SE (Sweden)
Alexandra,2021-01-28 20:33:24,00:00:10,Autoplayed: user action: None; ,Atypical: Season 1 Podular: TEXTLESS / Comedy - Drama - Romance,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:10,00:00:10,SE (Sweden)
Alexandra,2021-01-28 20:19:32,00:13:36,Autoplayed: user action: Unspecified; ,Last Knights,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:13:36,00:13:36,SE (Sweden)
Alexandra,2021-01-28 20:19:13,00:00:15,Autoplayed: user action: None; ,Dracula Untold_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:15,00:00:15,SE (Sweden)
Alexandra,2021-01-28 20:18:47,00:00:23,Autoplayed: user action: None; ,Last Knights_hook_02_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:23,00:00:23,SE (Sweden)
Alexandra,2021-01-28 20:18:27,00:00:06,Autoplayed: user action: None; ,Community: Season 1_hook_05_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:06,00:00:06,SE (Sweden)
Alexandra,2021-01-28 20:18:13,00:00:07,Autoplayed: user action: None; ,Season 1: Into the Night (Teaser),HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:07,00:00:07,SE (Sweden)
Alexandra,2021-01-28 20:17:40,00:00:26,Autoplayed: user action: None; ,Season 1 Hook Clip 4: Outer Banks,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:26,00:00:26,SE (Sweden)
Alexandra,2021-01-28 20:17:23,00:00:14,Autoplayed: user action: None; ,The Rain (Trailer),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:14,00:00:14,SE (Sweden)
Alexandra,2021-01-28 20:17:13,00:00:07,Autoplayed: user action: None; ,Tidelands: Season 1 Podular: TEXTLESS / Drama - Fantasy - Crime,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:07,00:00:07,SE (Sweden)
Alexandra,2021-01-28 20:16:09,00:00:20,Autoplayed: user action: None; ,Ricky Gervais: Humanity_hook_05_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:20,00:00:20,SE (Sweden)
Alexandra,2021-01-28 20:15:00,00:00:31,Autoplayed: user action: None; ,Hur många kramar finns det i världen?_hook_02_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:31,00:00:31,SE (Sweden)
Alexandra,2021-01-28 20:13:43,00:01:07,Autoplayed: user action: None; ,Trailer: Death to 2020,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:01:07,00:01:07,SE (Sweden)
Alexandra,2021-01-28 20:13:17,00:00:17,Autoplayed: user action: None; ,"O Brother, Where Art Thou?_hook_02_16x9",HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:17,00:00:17,SE (Sweden)
Alexandra,2021-01-28 20:12:56,00:00:06,Autoplayed: user action: None; ,SNOWPIERCER_S2_CLIP_PLOT,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:06,00:00:06,SE (Sweden)
Alexandra,2021-01-28 20:12:38,00:00:09,Autoplayed: user action: None; ,Season 1 Trailer: Bridgerton,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:09,00:00:09,SE (Sweden)
Alexandra,2021-01-28 20:11:40,00:00:56,Autoplayed: user action: None; ,Part 1 Teaser: Lupin,TEASER_TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:56,00:00:56,SE (Sweden)
Alexandra,2021-01-28 20:11:16,00:00:21,Autoplayed: user action: None; ,Season 1 Trailer: Fate: The Winx Saga,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:21,00:00:21,SE (Sweden)
Alexandra,2021-01-28 20:10:14,00:00:40,Autoplayed: user action: None; ,BONDING_S2_CLIP_PLOT,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:40,00:00:40,SE (Sweden)
Alexandra,2021-01-28 13:09:29,00:08:32,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: The Final Page: Part 1 (Episode 11),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:08:32,Not latest view,SE (Sweden)
Alexandra,2021-01-28 12:48:09,00:21:19,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: The Over-Correction (Episode 10),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:20,00:21:20,SE (Sweden)
Alexandra,2021-01-28 12:26:45,00:21:21,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: Lobster Crawl (Episode 9),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:22,00:21:22,SE (Sweden)
Alexandra,2021-01-28 12:22:28,00:04:12,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Twelve Horny Women (Episode 8),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:16,00:21:16,SE (Sweden)
Alexandra,2021-01-27 18:12:32,00:06:59,,Spycraft: Season 1: High-Tech Surveillance and an Eye in the Sky (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:06:59,00:06:59,SE (Sweden)
Alexandra,2021-01-27 18:07:56,00:01:03,Autoplayed: user action: None; ,Borgen: Season 1_hook_02_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:01:03,00:01:03,SE (Sweden)
Alexandra,2021-01-27 18:07:41,00:00:10,Autoplayed: user action: None; ,The World's Most Extraordinary Homes: Season 2 Part A_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:10,00:00:10,SE (Sweden)
Alexandra,2021-01-27 18:07:24,00:00:08,Autoplayed: user action: None; ,The Crown (Trailer),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:08,00:00:08,SE (Sweden)
Alexandra,2021-01-27 18:07:14,00:00:04,Autoplayed: user action: None; ,Call My Agent!: Season 1 (Trailer),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:04,00:00:04,SE (Sweden)
Alexandra,2021-01-27 18:06:44,00:00:13,Autoplayed: user action: None; ,Fate: The Winx Saga: Season 1 (CUF Trailer ),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:13,00:00:13,SE (Sweden)
Alexandra,2021-01-27 18:06:24,00:00:17,Autoplayed: user action: None; ,Blown Away: Season 2 - Peer Review,TEASER_TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:17,00:00:17,SE (Sweden)
Alexandra,2021-01-27 18:05:34,00:00:47,Autoplayed: user action: None; ,Spycraft: Season 1: Clip 5: Informative,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:47,00:00:47,SE (Sweden)
Alexandra,2021-01-27 18:05:09,00:00:21,Autoplayed: user action: None; ,Season 1 Trailer: Surviving Death,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:21,00:00:21,SE (Sweden)
Alexandra,2021-01-27 12:46:16,00:17:05,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: Twelve Horny Women (Episode 8),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:17:06,Not latest view,SE (Sweden)
Alexandra,2021-01-27 12:27:46,00:18:27,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: The Stamp Tramp (Episode 7),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:17,00:21:17,SE (Sweden)
Alexandra,2021-01-27 12:26:57,00:00:44,Autoplayed: user action: None; ,Season 1 Trailer: Merry Happy Whatever,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:44,00:00:44,SE (Sweden)
Alexandra,2021-01-27 12:26:45,00:00:09,Autoplayed: user action: None; ,Holmes & Watson_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:09,00:00:09,SE (Sweden)
Alexandra,2021-01-26 19:57:25,00:00:07,Autoplayed: user action: None; ,The Lord of the Rings: The Fellowship of the Ring_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:07,00:00:07,SE (Sweden)
Alexandra,2021-01-26 19:56:31,00:00:51,Autoplayed: user action: None; ,72 Cutest Animals: Season 1_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:51,00:00:51,SE (Sweden)
Alexandra,2021-01-26 19:56:04,00:00:19,Autoplayed: user action: None; ,Season 1 Trailer: Rise of Empires: Ottoman,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:19,00:00:19,SE (Sweden)
Alexandra,2021-01-26 19:55:52,00:00:09,Autoplayed: user action: None; ,Limited Series Trailer: The Business of Drugs,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:09,00:00:09,SE (Sweden)
Alexandra,2021-01-26 19:55:39,00:00:06,Autoplayed: user action: None; ,Cuba and the Cameraman (Trailer),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:06,00:00:06,SE (Sweden)
Alexandra,2021-01-26 19:55:32,00:00:04,Autoplayed: user action: None; ,Part 2 Trailer: Babies,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:04,00:00:04,SE (Sweden)
Alexandra,2021-01-26 19:54:40,00:00:20,Autoplayed: user action: None; ,Somebody Feed Phil: The First Course_hook_02_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:20,00:00:20,SE (Sweden)
Alexandra,2021-01-26 19:53:51,00:00:40,Autoplayed: user action: None; ,Dark Tourist (Trailer),TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:40,00:00:40,SE (Sweden)
Alexandra,2021-01-26 19:53:31,00:00:16,Autoplayed: user action: None; ,The Dawn Wall_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:16,00:00:16,SE (Sweden)
Alexandra,2021-01-26 19:52:32,00:00:49,Autoplayed: user action: None; ,The Minimalists: Less Is Now VCEE Clip 4 (Relatable),HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:49,00:00:49,SE (Sweden)
Alexandra,2021-01-26 19:51:35,00:00:54,Autoplayed: user action: None; ,Alien Worlds: Season 1: Clip 1: High Context,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:54,00:00:54,SE (Sweden)
Alexandra,2021-01-26 19:50:43,00:00:47,Autoplayed: user action: None; ,The Secret,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:47,00:00:47,SE (Sweden)
Alexandra,2021-01-26 19:50:13,00:00:15,Autoplayed: user action: None; ,Season 1 Trailer: Connected,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:15,00:00:15,SE (Sweden)
Alexandra,2021-01-26 19:49:39,00:00:19,Autoplayed: user action: None; ,Season 1 Trailer: History of Swear Words,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:19,00:00:19,SE (Sweden)
Alexandra,2021-01-26 19:49:06,00:00:05,Autoplayed: user action: None; ,Trailer: My Octopus Teacher,TRAILER,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:05,00:00:05,SE (Sweden)
Alexandra,2021-01-26 19:46:17,00:02:10,Autoplayed: user action: None; ,Brené Brown: The Call to Courage,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:02:10,00:02:10,SE (Sweden)
Alexandra,2021-01-26 19:45:02,00:00:34,Autoplayed: user action: None; ,History 101: Season 1: Fast Food (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:34,00:00:34,SE (Sweden)
Alexandra,2021-01-26 19:43:50,00:00:58,Autoplayed: user action: None; ,The Beginning and End of the Universe: Season 1: Episode 1,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:58,00:00:58,SE (Sweden)
Alexandra,2021-01-26 19:43:26,00:00:01,Autoplayed: user action: None; ,Spycraft: Season 1: High-Tech Surveillance and an Eye in the Sky (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:01,Not latest view,SE (Sweden)
Alexandra,2021-01-26 19:42:46,00:00:02,Autoplayed: user action: None; ,Money Heist: Part 1: Episode 2,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:02,00:00:02,SE (Sweden)
Alexandra,2021-01-26 19:42:11,00:00:11,Has branched playback; Autoplayed: user action: None; ,Black Mirror: Bandersnatch,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,01:43:01,01:43:01,SE (Sweden)
Alexandra,2021-01-26 19:41:57,00:00:01,Autoplayed: user action: None; ,Jurassic World Camp Cretaceous: Season 1: Camp Cretaceous (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:01,00:00:01,SE (Sweden)
Alexandra,2021-01-26 12:12:28,00:02:51,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: The Stamp Tramp (Episode 7),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:02:51,Not latest view,SE (Sweden)
Alexandra,2021-01-26 11:51:09,00:21:14,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Splitsville (Episode 6),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:20,00:21:20,SE (Sweden)
Alexandra,2021-01-26 11:29:53,00:21:15,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: The Autumn of Break-Ups (Episode 5),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:16,00:21:16,SE (Sweden)
Alexandra,2021-01-26 11:08:36,00:21:16,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: Who Wants to Be a Godparent? (Episode 4),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:16,00:21:16,SE (Sweden)
Alexandra,2021-01-26 11:08:08,00:00:26,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Nannies (Episode 3),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:19,00:21:19,SE (Sweden)
Alexandra,2021-01-25 22:33:36,00:20:50,,How I Met Your Mother: Season 8: Nannies (Episode 3),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:20:54,Not latest view,SE (Sweden)
Alexandra,2021-01-25 22:12:22,00:21:12,,How I Met Your Mother: Season 8: The Pre-Nup (Episode 2),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:19,00:21:19,SE (Sweden)
Alexandra,2021-01-25 21:52:26,00:19:36,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Farhampton (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:22:03,00:22:03,SE (Sweden)
Alexandra,2021-01-25 21:31:13,00:21:12,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Magician's Code Part 2 (Episode 24),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-25 21:09:56,00:21:14,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: The Magician's Code Part 1 (Episode 23),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:14,00:21:14,SE (Sweden)
Alexandra,2021-01-25 15:25:22,00:00:04,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Magician's Code Part 1 (Episode 23),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:04,Not latest view,SE (Sweden)
Alexandra,2021-01-25 15:04:06,00:21:14,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Good Crazy (Episode 22),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:14,00:21:14,SE (Sweden)
Alexandra,2021-01-25 14:42:54,00:21:11,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Now We're Even (Episode 21),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-25 14:21:51,00:21:01,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: Trilogy Time (Episode 20),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:05,00:21:05,SE (Sweden)
Alexandra,2021-01-25 14:00:41,00:21:09,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: The Broath (Episode 19),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:13,00:21:13,SE (Sweden)
Alexandra,2021-01-25 13:39:27,00:21:12,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Karma (Episode 18),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:13,00:21:13,SE (Sweden)
Alexandra,2021-01-25 13:38:56,00:00:29,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: No Pressure (Episode 17),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-25 13:34:06,00:00:07,Autoplayed: user action: None; ,How I Met Your Mother: Season 1_hook_02_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:07,00:00:07,SE (Sweden)
Alexandra,2021-01-25 11:55:43,00:20:45,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: No Pressure (Episode 17),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:20:50,Not latest view,SE (Sweden)
Alexandra,2021-01-25 11:41:14,00:14:27,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: The Drunk Train (Episode 16),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:15,00:21:15,SE (Sweden)
Alexandra,2021-01-24 20:00:17,01:29:32,Autoplayed: user action: Unspecified; ,Sune på bilsemester,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,01:29:32,01:29:32,SE (Sweden)
Alexandra,2021-01-24 19:58:36,00:00:08,Autoplayed: user action: Unspecified; ,Sune på bilsemester,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:08,Not latest view,SE (Sweden)
Alexandra,2021-01-24 19:03:54,00:06:52,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Drunk Train (Episode 16),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:06:52,Not latest view,SE (Sweden)
Alexandra,2021-01-24 18:46:43,00:07:32,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: The Burning Beekeeper (Episode 15),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:20:04,00:20:04,SE (Sweden)
Alexandra,2021-01-23 22:59:44,00:12:32,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Burning Beekeeper (Episode 15),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:12:33,Not latest view,SE (Sweden)
Alexandra,2021-01-23 22:38:39,00:21:04,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: 46 Minutes (Episode 14),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:05,00:21:05,SE (Sweden)
Alexandra,2021-01-23 22:17:24,00:21:11,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Tailgate (Episode 13),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-23 21:56:08,00:21:14,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Symphony of Illumination (Episode 12),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:14,00:21:14,SE (Sweden)
Alexandra,2021-01-23 21:34:53,00:21:14,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Rebound Girl (Episode 11),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:14,00:21:14,SE (Sweden)
Alexandra,2021-01-23 21:20:13,00:14:28,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: Tick Tick Tick (Episode 10),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:59,00:21:59,SE (Sweden)
Alexandra,2021-01-23 20:59:02,00:21:10,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Disaster Averted (Episode 9),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:11,00:21:11,SE (Sweden)
Alexandra,2021-01-23 20:37:49,00:21:12,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: The Slutty Pumpkin Returns (Episode 8),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:15,00:21:15,SE (Sweden)
Alexandra,2021-01-23 20:16:35,00:21:12,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Noretta (Episode 7),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-23 19:59:38,00:16:55,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: Mystery vs. History (Episode 6),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:13,00:21:13,SE (Sweden)
Alexandra,2021-01-23 19:57:51,00:01:11,,How I Met Your Mother: Season 7: Mystery vs. History (Episode 6),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:04:22,Not latest view,SE (Sweden)
Alexandra,2021-01-22 16:37:25,00:03:16,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Mystery vs. History (Episode 6),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:03:17,Not latest view,SE (Sweden)
Alexandra,2021-01-22 16:12:41,00:21:04,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 7: Field Trip (Episode 5),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:04,00:21:04,SE (Sweden)
Alexandra,2021-01-22 15:51:24,00:21:15,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Stinson Missile Crisis (Episode 4),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:15,00:21:15,SE (Sweden)
Alexandra,2021-01-22 15:30:08,00:21:15,,How I Met Your Mother: Season 7: Ducky Tie (Episode 3),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:15,00:21:15,SE (Sweden)
Alexandra,2021-01-22 13:57:50,00:01:57,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: Ducky Tie (Episode 3),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:01:57,Not latest view,SE (Sweden)
Alexandra,2021-01-22 13:36:31,00:21:13,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Naked Truth (Episode 2),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:13,00:21:13,SE (Sweden)
Alexandra,2021-01-22 13:15:19,00:21:11,Autoplayed: user action: None; ,How I Met Your Mother: Season 7: The Best Man (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:12,00:21:12,SE (Sweden)
Alexandra,2021-01-22 12:54:11,00:21:07,Autoplayed: user action: None; ,How I Met Your Mother: Season 6: Challenge Accepted (Episode 24),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:07,00:21:07,SE (Sweden)
Alexandra,2021-01-22 12:33:14,00:20:54,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 6: Landmarks (Episode 23),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:20:54,00:20:54,SE (Sweden)
Alexandra,2021-01-21 21:13:46,00:44:21,Autoplayed: user action: Unspecified; ,My Next Guest Needs No Introduction With David Letterman: Season 3: Robert Downey Jr. (Episode 2),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:44:33,00:44:33,SE (Sweden)
